outcome,Learning Target 1,,Learning Target 1,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 2,,Learning Target 2,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 3,,Learning Target 3,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 4,,Learning Target 4,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 5,,Learning Target 5,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 6,,Learning Target 6,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 7,,Learning Target 7,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 8,,Learning Target 8,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 9,,Learning Target 9,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 10,,Learning Target 10,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 11,,Learning Target 11,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 12,,Learning Target 12,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 13,,Learning Target 13,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 14,,Learning Target 14,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 15,,Learning Target 15,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 16,,Learning Target 16,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 17,,Learning Target 17,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 18,,Learning Target 18,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 19,,Learning Target 19,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 20,,Learning Target 20,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 21,,Learning Target 21,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 22,,Learning Target 22,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 23,,Learning Target 23,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 24,,Learning Target 24,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 25,,Learning Target 25,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 26,,Learning Target 26,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 27,,Learning Target 27,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 28,,Learning Target 28,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 29,,Learning Target 29,highest,,,active,1,Mastered,1,Not Yet,0
outcome,Learning Target 30,,Learning Target 30,highest,,,active,1,Mastered,1,Not Yet,0