Week,Day,Prep Due,Topic,Other Work Due
1,[15-Jan](notes/Jan-15.html),,Course Intro/1.1: How do we measure velocity?,
2,[18-Jan](notes/Jan-18.html),,1.1: How do we measure velocity/1.2: The notion of a limit,
2,[20-Jan](notes/Jan-20.html),1.2,1.2: The notion of a limit,Edfinity 1.1
2,[22-Jan](notes/Jan-22.html),1.3,1.3: The derivative of a function at a point,Edfinity 1.2; Weekly Uploads 1
3,[25-Jan](notes/Jan-25.html),1.4,1.4: The derivative function,Edfinity 1.3
3,[27-Jan](notes/Jan-27.html),1.5,"1.5: Interpreting, estimating, and using the derivative",Edfinity 1.4
3,[29-Jan](notes/Jan-29.html),1.6,1.6: The second derivative,Edfinity 1.5; Weekly Uploads 2
4,[1-Feb](notes/Feb-01.html),1.7,"1.7: Limits, Continuity, and Differentiability",Edfinity 1.6
4,[3-Feb](notes/Feb-03.html),1.8,1.8: The tangent line approximation,Edfinity 1.7
4,[5-Feb](notes/Feb-05.html),,Review/catch up,Edfinity 1.8; Weekly Uploads 3
5,[8-Feb](notes/Feb-08.html),,**Exam 1: Learning Targets 1-9**,
5,[10-Feb](notes/Feb-10.html),2.1,2.1: Elementary Derivative Rules,
5,[12-Feb](notes/Feb-12.html),2.2,2.2: The sine and cosine functions,Edfinity 2.1; Weekly Uploads 4
6,15-Feb,,**No class**,
6,[17-Feb](notes/Feb-17.html),2.3,2.3: The product and quotient rules,Edfinity 2.2
6,[19-Feb](notes/Feb-19.html),2.4,2.4: Derivatives of other trig functions,Edfinity 2.3; Weekly Uploads 5
7,[22-Feb](notes/Feb-22.html),2.5,2.5: The chain rule,Edfinity 2.4
7,[24-Feb](notes/Feb-24.html),,2.5: The chain rule,
7,[26-Feb](notes/Feb-26.html),2.6,2.6: Derivatives of inverse functions,Edfinity 2.5; Weekly Uploads 6
8,[1-Mar](notes/Mar-01.html),2.7,2.7: Derivative of functions given implicitly,Edfinity 2.6
8,[3-Mar](notes/Mar-03.html),2.8,2.8: Using derivatives to evaluate limits,Edfinity 2.7
8,[5-Mar](notes/Mar-05.html),,Derivative practice/review,Edfinity 2.8; Weekly Uploads 7
9,[8-Mar](notes/Mar-08.html),,"**Exam 2: Learning Targets 1-14, Derivative Calculation Exam**",
9,[10-Mar](notes/Mar-10.html),3.1,3.1: Using derivatives to identify extreme values,
9,[12-Mar](notes/Mar-12.html),,3.1: Using derivatives to identify extreme values/3.2: Using derivatives to describe families of functions,Weekly Uploads 8
10,[15-Mar](notes/Mar-15.html),3.2,3.2: Using derivatives to describe families of functions,Edfinity 3.1
10,[17-Mar](notes/Mar-17.html),3.3,3.3: Global Optimization,Edfinity 3.2
10,[19-Mar](notes/Mar-19.html),3.4,3.4: Applied Optimization,Edfinity 3.3; Weekly Uploads 9
11,[22-Mar](notes/Mar-22.html),,3.4: Applied Optimization,Reflection on beauty
11,[24-Mar](notes/Mar-24.html),3.5,3.5: Related Rates,Edfinity 3.4
11,[26-Mar](notes/Mar-26.html),,3.5: Related Rates,Weekly Uploads 10
12,[29-Mar](notes/Mar-29.html),,**Exam 3: Learning Targets 10-21**,
12,[31-Mar](notes/Mar-31.html),4.1,4.1: Determining distance traveled from velocity,Edfinity 3.5
12,[2-Apr](notes/Apr-02.html),4.2,4.2: Riemann Sums,Edfinity 4.1; Weekly Uploads 11
13,[5-Apr](notes/Apr-05.html),4.3,4.3: The definite integral,Edfinity 4.2
13,7-Apr,,**No class**,
13,[9-Apr](notes/Apr-09.html),4.4,4.4: The Fundamental Theorem of Calculus,Edfinity 4.3; Weekly Uploads 12
14,[12-Apr](notes/Apr-12.html),,**Exam 4: Learning Targets 10-27**,
14,[14-Apr](notes/Apr-14.html),5.1,5.1: Constructing accurate graphs of antiderivatives,Edfinity 4.4
14,[16-Apr](notes/Apr-16.html),5.2,5.2: The Second Fundamental Theorem of Calculus,Edfinity 5.1; Weekly Uploads 13
15,[19-Apr](notes/Apr-19.html),,5.2: The Second Fundamental Theorem of Calculus,
15,[21-Apr](notes/Apr-21.html),5.3,5.3: Integration by Substitution,Edfinity 5.2
15,[23-Apr](notes/Apr-23.html),,5.3: Integration by Substitution,Weekly Uploads 14
16,[26-Apr](notes/Apr-26.html),,Review,Edfinity 5.3
16,[28-Apr](notes/Apr-28.html),,**Exam 5: Learning Targets 22-30**,
16,[30-Apr](notes/Apr-30.html),,Review for Final,Reflection on historical development of calculus; Weekly Uploads 15
Finals,,,TBD,